valid_time,pressure_level,Specific_humidity,number,latitude,longitude,expver
2024-01-05 19:00:00,600.0,0.0020594546,0,21.22,81.33,0001
2024-01-05 19:00:00,500.0,7.307739e-05,0,21.22,81.33,0001
2024-01-05 19:00:00,400.0,0.000111978225,0,21.22,81.33,0001
2024-01-05 19:00:00,300.0,3.508592e-05,0,21.22,81.33,0001
2024-01-05 19:00:00,200.0,2.2921522e-05,0,21.22,81.33,0001
2024-01-05 19:00:00,150.0,7.5987127e-06,0,21.22,81.33,0001
2024-01-05 19:00:00,100.0,2.563881e-06,0,21.22,81.33,0001
2024-01-05 19:00:00,70.0,2.673739e-06,0,21.22,81.33,0001
2024-01-05 19:00:00,50.0,3.0491492e-06,0,21.22,81.33,0001
2024-01-05 19:00:00,30.0,2.9182756e-06,0,21.22,81.33,0001
2024-01-05 19:00:00,20.0,2.9398761e-06,0,21.22,81.33,0001
2024-01-05 19:00:00,10.0,2.9500725e-06,0,21.22,81.33,0001
2024-01-06 19:00:00,1000.0,0.010221716,0,21.22,81.33,0001
2024-01-06 19:00:00,900.0,0.009654142,0,21.22,81.33,0001
2024-01-06 19:00:00,800.0,0.005159471,0,21.22,81.33,0001
2024-01-06 19:00:00,750.0,0.0059491284,0,21.22,81.33,0001
2024-01-06 19:00:00,700.0,0.0058835633,0,21.22,81.33,0001
2024-01-06 19:00:00,600.0,0.00085230335,0,21.22,81.33,0001
2024-01-06 19:00:00,500.0,0.00015440874,0,21.22,81.33,0001
2024-01-06 19:00:00,400.0,0.000116377676,0,21.22,81.33,0001
2024-01-06 19:00:00,300.0,5.434564e-05,0,21.22,81.33,0001
2024-01-06 19:00:00,200.0,2.7080052e-05,0,21.22,81.33,0001
2024-01-06 19:00:00,150.0,8.16375e-06,0,21.22,81.33,0001
2024-01-06 19:00:00,100.0,2.362277e-06,0,21.22,81.33,0001
2024-01-06 19:00:00,70.0,2.647409e-06,0,21.22,81.33,0001
2024-01-06 19:00:00,50.0,3.075661e-06,0,21.22,81.33,0001
2024-01-06 19:00:00,30.0,2.916002e-06,0,21.22,81.33,0001
2024-01-06 19:00:00,20.0,2.9231833e-06,0,21.22,81.33,0001
2024-01-06 19:00:00,10.0,3.229492e-06,0,21.22,81.33,0001
2024-01-07 19:00:00,1000.0,0.010158315,0,21.22,81.33,0001
2024-01-07 19:00:00,900.0,0.008410674,0,21.22,81.33,0001
2024-01-07 19:00:00,800.0,0.0058382973,0,21.22,81.33,0001
2024-01-07 19:00:00,750.0,0.0051360168,0,21.22,81.33,0001
2024-01-07 19:00:00,700.0,0.0040447116,0,21.22,81.33,0001
2024-01-07 19:00:00,600.0,0.00050997967,0,21.22,81.33,0001
2024-01-07 19:00:00,500.0,0.00022509022,0,21.22,81.33,0001
2024-01-07 19:00:00,400.0,0.00011274392,0,21.22,81.33,0001
2024-01-07 19:00:00,300.0,5.6463556e-05,0,21.22,81.33,0001
2024-01-07 19:00:00,200.0,2.2643726e-05,0,21.22,81.33,0001
2024-01-07 19:00:00,150.0,5.5043392e-06,0,21.22,81.33,0001
2024-01-07 19:00:00,100.0,2.5727795e-06,0,21.22,81.33,0001
2024-01-07 19:00:00,70.0,2.605586e-06,0,21.22,81.33,0001
2024-01-07 19:00:00,50.0,3.0789843e-06,0,21.22,81.33,0001
2024-01-07 19:00:00,30.0,2.9192543e-06,0,21.22,81.33,0001
2024-01-07 19:00:00,20.0,2.9311268e-06,0,21.22,81.33,0001
2024-01-07 19:00:00,10.0,3.1607824e-06,0,21.22,81.33,0001
2024-01-08 19:00:00,1000.0,0.010006659,0,21.22,81.33,0001
2024-01-08 19:00:00,900.0,0.008103754,0,21.22,81.33,0001
2024-01-08 19:00:00,800.0,0.0052681044,0,21.22,81.33,0001
2024-01-08 19:00:00,750.0,0.0051439404,0,21.22,81.33,0001
2024-01-08 19:00:00,700.0,0.002908104,0,21.22,81.33,0001
2024-01-08 19:00:00,600.0,0.0004768381,0,21.22,81.33,0001
2024-01-08 19:00:00,500.0,0.0004049542,0,21.22,81.33,0001
2024-01-08 19:00:00,400.0,0.00014815951,0,21.22,81.33,0001
2024-01-08 19:00:00,300.0,8.55219e-05,0,21.22,81.33,0001
2024-01-08 19:00:00,200.0,2.4692024e-05,0,21.22,81.33,0001
2024-01-08 19:00:00,150.0,6.508879e-06,0,21.22,81.33,0001
2024-01-08 19:00:00,100.0,2.4091387e-06,0,21.22,81.33,0001
2024-01-08 19:00:00,70.0,2.709282e-06,0,21.22,81.33,0001
2024-01-08 19:00:00,50.0,3.0704832e-06,0,21.22,81.33,0001
2024-01-08 19:00:00,30.0,2.9226621e-06,0,21.22,81.33,0001
2024-01-08 19:00:00,20.0,2.9474304e-06,0,21.22,81.33,0001
2024-01-08 19:00:00,10.0,3.0314322e-06,0,21.22,81.33,0001
2024-01-09 19:00:00,1000.0,0.010744948,0,21.22,81.33,0001
2024-01-09 19:00:00,900.0,0.0075836703,0,21.22,81.33,0001
2024-01-09 19:00:00,800.0,0.0051587895,0,21.22,81.33,0001
2024-01-09 19:00:00,750.0,0.0060196556,0,21.22,81.33,0001
2024-01-09 19:00:00,700.0,0.0047839954,0,21.22,81.33,0001
2024-01-09 19:00:00,600.0,0.0056088828,0,21.22,81.33,0001
2024-01-09 19:00:00,500.0,0.0023829124,0,21.22,81.33,0001
2024-01-09 19:00:00,400.0,0.00077158376,0,21.22,81.33,0001
2024-01-09 19:00:00,300.0,0.00010454202,0,21.22,81.33,0001
2024-01-09 19:00:00,200.0,4.7986134e-05,0,21.22,81.33,0001
2024-01-09 19:00:00,150.0,7.4922937e-06,0,21.22,81.33,0001
2024-01-09 19:00:00,100.0,2.3604198e-06,0,21.22,81.33,0001
2024-01-09 19:00:00,70.0,2.6691987e-06,0,21.22,81.33,0001
2024-01-09 19:00:00,50.0,3.0671563e-06,0,21.22,81.33,0001
2024-01-09 19:00:00,30.0,2.917176e-06,0,21.22,81.33,0001
2024-01-09 19:00:00,20.0,2.962077e-06,0,21.22,81.33,0001
